replicate,day,time,sex,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,open
1,4,1115,both,0,3,0,2,1,1,3,1,2,3,4,4,0
1,4,1230,male,0,0,0,1,0,0,3,2,2,0,2,2,0
1,4,1230,female,0,3,0,1,1,1,0,0,0,3,1,2,0
1,4,1230,both,0,3,0,2,1,1,3,2,2,3,3,4,0
1,4,1330,male,0,0,0,1,0,0,4,2,2,0,1,2,0
1,4,1330,female,0,3,0,1,1,1,0,0,0,3,0,2,1
1,4,1330,both,0,3,0,2,1,1,4,2,2,3,1,4,1
1,4,1430,male,0,1,0,1,0,0,3,2,2,0,1,2,0
1,4,1430,female,0,3,0,1,1,1,0,0,0,2,0,3,1
1,4,1430,both,0,4,0,2,1,1,3,2,2,2,1,5,1
1,4,1530,male,0,0,0,1,0,0,4,1,2,0,1,2,1
1,4,1530,female,0,3,0,1,1,2,0,0,0,1,0,3,1
1,4,1530,both,0,3,0,2,1,2,4,1,2,1,1,5,2
1,4,1630,male,0,0,0,1,0,0,4,2,2,0,1,2,0
1,4,1630,female,0,1,0,2,1,1,0,0,1,0,1,2,3
1,4,1630,both,0,1,0,3,1,1,4,2,3,0,2,4,3
1,4,1730,male,0,0,0,2,0,0,4,1,2,0,1,2,0
1,4,1730,female,1,1,0,1,1,1,1,1,0,0,1,3,1
1,4,1730,both,1,1,0,3,1,1,5,2,2,0,2,5,1
1,4,1800,male,0,0,0,2,0,0,4,1,2,0,1,2,0
1,4,1800,female,0,1,0,2,1,1,1,1,1,1,1,1,1
1,4,1800,both,0,1,0,4,1,1,5,2,3,1,2,3,1
1,5,1000,male,0,0,0,2,0,0,4,1,2,0,2,1,0
1,5,1000,female,0,2,0,2,1,1,1,1,1,1,1,1,0
1,5,1000,both,0,2,0,4,1,1,5,2,3,1,3,2,0
1,5,1115,male,0,0,0,2,0,0,3,1,2,0,2,1,1
1,5,1115,female,0,2,0,1,2,1,1,1,1,1,1,0,1
1,5,1115,both,0,2,0,3,2,1,4,2,3,1,3,1,2
1,5,1230,male,0,0,0,1,0,0,3,0,1,0,1,2,4
1,5,1230,female,2,2,0,0,1,2,0,0,1,0,1,1,2
1,5,1230,both,2,2,0,1,1,2,3,0,2,0,2,3,6
1,5,1330,male,0,0,0,1,0,0,3,0,1,0,1,1,5
1,5,1330,female,0,2,0,0,1,2,2,0,1,0,1,1,2
1,5,1330,both,0,2,0,1,1,2,5,0,2,0,2,2,7
1,5,1430,male,0,0,1,1,0,0,2,0,1,0,2,2,3
1,5,1430,female,0,0,0,1,1,2,0,1,1,0,0,0,6
1,5,1430,both,0,0,1,2,1,2,2,1,2,0,2,2,9
1,5,1530,male,0,0,0,1,0,3,1,0,2,1,0,0,4
1,5,1530,female,1,0,0,1,1,1,2,0,0,0,0,0,6
1,5,1530,both,1,0,0,2,1,4,3,0,2,1,0,0,10
1,5,1630,male,1,0,0,1,0,2,2,1,1,2,0,0,2
1,5,1630,female,1,1,0,1,2,1,0,1,0,0,0,1,4
1,5,1630,both,2,1,0,2,2,3,2,2,1,2,0,1,6
1,5,1730,male,0,0,0,2,0,2,2,2,0,2,1,0,1
1,5,1730,female,0,1,0,1,1,2,0,0,1,0,0,1,5
1,5,1730,both,0,1,0,3,1,4,2,2,1,2,1,1,6
1,5,1800,male,0,0,0,2,0,2,2,2,0,2,1,1,0
1,5,1800,female,0,1,0,2,2,3,0,1,0,0,1,1,1
1,5,1800,both,0,1,0,4,2,5,2,3,0,2,2,2,1
1,6,1000,male,0,0,0,2,0,3,2,1,0,2,0,2,0
1,6,1000,female,0,2,0,1,1,3,0,1,0,1,0,2,1
1,6,1000,both,0,2,0,3,1,6,2,2,0,3,0,4,1
1,6,1115,male,0,0,0,1,0,2,2,1,0,2,0,2,2
1,6,1115,female,0,0,0,1,1,2,0,0,0,0,0,1,7
1,6,1115,both,0,0,0,2,1,4,2,1,0,2,0,3,9
1,6,1230,male,0,0,0,1,0,2,2,1,0,2,0,1,3
1,6,1230,female,0,1,0,1,1,1,0,0,0,0,0,0,8
1,6,1230,both,0,1,0,2,1,3,2,1,0,2,0,1,11
1,6,1330,male,0,0,0,1,0,1,0,0,1,1,0,2,6
1,6,1330,female,2,0,0,0,1,1,0,0,0,0,0,0,8
1,6,1330,both,2,0,0,1,1,2,0,0,1,1,0,2,14
1,6,1430,male,0,1,0,1,0,1,0,1,1,0,1,3,3
1,6,1430,female,0,0,1,0,1,1,1,0,0,2,0,0,6
1,6,1430,both,0,1,1,1,1,2,1,1,1,2,1,3,9
1,6,1530,male,0,1,0,3,0,1,0,2,0,0,0,2,3
1,6,1530,female,1,0,0,0,2,0,1,0,0,1,0,0,7
1,6,1530,both,1,1,0,3,2,1,1,2,0,1,0,2,10
1,6,1630,male,0,1,0,2,1,1,3,1,0,0,0,0,3
1,6,1630,female,0,0,0,2,0,2,1,0,0,1,1,1,4
1,6,1630,both,0,1,0,4,1,3,4,1,0,1,1,1,7
1,6,1730,male,0,1,0,2,1,2,2,1,0,1,0,0,2
1,6,1730,female,0,0,0,3,0,1,2,0,0,1,1,0,4
1,6,1730,both,0,1,0,5,1,3,4,1,0,2,1,0,6
